Timestamp: 2024-05-08T17:10:44.330Z	 LogLevel: Info 	 message: Starting Application
Timestamp: 2024-05-08T17:10:44.352Z	 LogLevel: Event 	 message: Opening TRX1000.csv
Timestamp: 2024-05-08T17:10:44.475Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.488Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.489Z	 LogLevel: Info 	 message: Customer discount: 0.05
Timestamp: 2024-05-08T17:10:44.489Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 12.3723 milliseconds
Timestamp: 2024-05-08T17:10:44.489Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.489Z	 LogLevel: Info 	 message: Didn't qualify for discount
Timestamp: 2024-05-08T17:10:44.494Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.1625 milliseconds
Timestamp: 2024-05-08T17:10:44.494Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.494Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.494Z	 LogLevel: Info 	 message: Customer discount: 0.05
Timestamp: 2024-05-08T17:10:44.494Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.2734 milliseconds
Timestamp: 2024-05-08T17:10:44.494Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.495Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.495Z	 LogLevel: Info 	 message: Customer discount: 0.11
Timestamp: 2024-05-08T17:10:44.495Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.230901 milliseconds
Timestamp: 2024-05-08T17:10:44.495Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.495Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 1 rules
Timestamp: 2024-05-08T17:10:44.495Z	 LogLevel: Info 	 message: Customer discount: 0.07
Timestamp: 2024-05-08T17:10:44.495Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.190501 milliseconds
Timestamp: 2024-05-08T17:10:44.495Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.496Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.496Z	 LogLevel: Info 	 message: Customer discount: 0.05
Timestamp: 2024-05-08T17:10:44.496Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.1983 milliseconds
Timestamp: 2024-05-08T17:10:44.496Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.519Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.519Z	 LogLevel: Info 	 message: Customer discount: 0.045
Timestamp: 2024-05-08T17:10:44.519Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 22.946101 milliseconds
Timestamp: 2024-05-08T17:10:44.519Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.519Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.519Z	 LogLevel: Info 	 message: Customer discount: 0.07500000000000001
Timestamp: 2024-05-08T17:10:44.519Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.196 milliseconds
Timestamp: 2024-05-08T17:10:44.519Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Info 	 message: Customer discount: 0.165
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.3478 milliseconds
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Info 	 message: Customer discount: 0.07500000000000001
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.230799 milliseconds
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Info 	 message: Didn't qualify for discount
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.135299 milliseconds
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 1 rules
Timestamp: 2024-05-08T17:10:44.520Z	 LogLevel: Info 	 message: Customer discount: 0.05
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.0977 milliseconds
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Info 	 message: Customer discount: 0.08
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.3341 milliseconds
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 1 rules
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Info 	 message: Customer discount: 0.1
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.0989 milliseconds
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 1 rules
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Info 	 message: Customer discount: 0.07
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.089401 milliseconds
Timestamp: 2024-05-08T17:10:44.521Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Info 	 message: Didn't qualify for discount
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.0828 milliseconds
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 1 rules
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Info 	 message: Customer discount: 0.07
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.141701 milliseconds
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Debug 	 message: Start processing
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Info 	 message: Customer qualified for discount and qualified for 2 rules
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Info 	 message: Customer discount: 0.07500000000000001
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Debug 	 message: Time taken to calculate discount: 0.1508 milliseconds
Timestamp: 2024-05-08T17:10:44.522Z	 LogLevel: Debug 	 message: Start processing
